;network;architecture;learning_rate;dropout;batch_size;accuracy
82;cnn;l2_k7_k5_d128_relu;0.001;0.2;10;42.42424242424242
83;cnn;l2_k7_k7_d128_relu;0.001;0.2;10;48.484848484848484
84;cnn;l1_k3_d128_relu;0.001;0.2;20;87.87878787878788
85;cnn;l1_k5_d128_relu;0.001;0.2;20;90.9090909090909
86;cnn;l1_k7_d128_relu;0.001;0.2;20;84.84848484848484
87;cnn;l2_k3_k3_d128_relu;0.001;0.2;20;45.45454545454545
88;cnn;l2_k3_k5_d128_relu;0.001;0.2;20;39.39393939393939
89;cnn;l2_k3_k7_d128_relu;0.001;0.2;20;36.36363636363637
90;cnn;l2_k5_k3_d128_relu;0.001;0.2;20;36.36363636363637
91;cnn;l2_k5_k5_d128_relu;0.001;0.2;20;42.42424242424242
92;cnn;l2_k5_k7_d128_relu;0.001;0.2;20;30.303030303030305
93;cnn;l2_k7_k3_d128_relu;0.001;0.2;20;42.42424242424242
94;cnn;l2_k7_k5_d128_relu;0.001;0.2;20;36.36363636363637
95;cnn;l2_k7_k7_d128_relu;0.001;0.2;20;51.515151515151516
96;cnn;l1_k3_d128_relu;0.001;0.2;40;84.84848484848484
97;cnn;l1_k5_d128_relu;0.001;0.2;40;84.84848484848484
98;cnn;l1_k7_d128_relu;0.001;0.2;40;81.81818181818183
99;cnn;l2_k3_k3_d128_relu;0.001;0.2;40;42.42424242424242
100;cnn;l2_k3_k5_d128_relu;0.001;0.2;40;39.39393939393939
101;cnn;l2_k3_k7_d128_relu;0.001;0.2;40;33.33333333333333
102;cnn;l2_k5_k3_d128_relu;0.001;0.2;40;48.484848484848484
103;cnn;l2_k5_k5_d128_relu;0.001;0.2;40;51.515151515151516
104;cnn;l2_k5_k7_d128_relu;0.001;0.2;40;39.39393939393939
105;cnn;l2_k7_k3_d128_relu;0.001;0.2;40;54.54545454545454
106;cnn;l2_k7_k5_d128_relu;0.001;0.2;40;36.36363636363637
107;cnn;l2_k7_k7_d128_relu;0.001;0.2;40;42.42424242424242
108;cnn;l1_k3_d128_relu;0.001;0.5;10;66.66666666666666
109;cnn;l1_k5_d128_relu;0.001;0.5;10;63.63636363636363
110;cnn;l1_k7_d128_relu;0.001;0.5;10;72.72727272727273
111;cnn;l2_k3_k3_d128_relu;0.001;0.5;10;42.42424242424242
112;cnn;l2_k3_k5_d128_relu;0.001;0.5;10;45.45454545454545
113;cnn;l2_k3_k7_d128_relu;0.001;0.5;10;47.45454545454545
114;cnn;l1_k5_d128_relu;0.01;0.2;10;87.87878787878788
115;cnn;l1_k7_d128_relu;0.01;0.2;10;81.81818181818183
116;cnn;l2_k3_k3_d128_relu;0.01;0.2;10;84.84848484848484
117;cnn;l2_k3_k5_d128_relu;0.01;0.2;10;75.75757575757575
118;cnn;l2_k3_k7_d128_relu;0.01;0.2;10;90.9090909090909
119;cnn;l2_k5_k3_d128_relu;0.01;0.2;10;84.84848484848484
120;cnn;l2_k5_k5_d128_relu;0.01;0.2;10;75.75757575757575
121;cnn;l2_k5_k7_d128_relu;0.01;0.2;10;69.6969696969697
122;cnn;l2_k7_k3_d128_relu;0.01;0.2;10;81.81818181818183
123;cnn;l2_k7_k5_d128_relu;0.01;0.2;10;75.75757575757575
124;cnn;l2_k7_k7_d128_relu;0.01;0.2;10;78.78787878787878
125;cnn;l1_k3_d256_relu;0.01;0.2;10;78.78787878787878
126;cnn;l1_k5_d256_relu;0.01;0.2;10;78.78787878787878
127;cnn;l1_k7_d256_relu;0.01;0.2;10;81.81818181818183
128;cnn;l2_k3_k3_d256_relu;0.01;0.2;10;84.84848484848484
129;cnn;l2_k3_k5_d256_relu;0.01;0.2;10;90.9090909090909
130;cnn;l2_k3_k7_d256_relu;0.01;0.2;10;78.78787878787878
131;cnn;l2_k5_k3_d256_relu;0.01;0.2;10;78.78787878787878
132;cnn;l2_k5_k5_d256_relu;0.01;0.2;10;81.81818181818183
133;cnn;l2_k5_k7_d256_relu;0.01;0.2;10;81.81818181818183
134;cnn;l2_k7_k3_d256_relu;0.01;0.2;10;78.78787878787878
135;cnn;l2_k7_k5_d256_relu;0.01;0.2;10;78.78787878787878
136;cnn;l2_k7_k7_d256_relu;0.01;0.2;10;84.84848484848484
137;cnn;l1_k3_d512_relu;0.01;0.2;10;75.75757575757575
138;cnn;l1_k5_d512_relu;0.01;0.2;10;84.84848484848484
139;cnn;l1_k7_d512_relu;0.01;0.2;10;84.84848484848484
140;cnn;l2_k3_k3_d512_relu;0.01;0.2;10;84.84848484848484
141;cnn;l2_k3_k5_d512_relu;0.01;0.2;10;84.84848484848484
142;cnn;l2_k3_k7_d512_relu;0.01;0.2;10;84.84848484848484
143;cnn;l2_k5_k3_d512_relu;0.01;0.2;10;84.84848484848484
144;cnn;l2_k5_k5_d512_relu;0.01;0.2;10;72.72727272727273
145;cnn;l2_k5_k7_d512_relu;0.01;0.2;10;75.75757575757575
146;cnn;l2_k7_k3_d512_relu;0.01;0.2;10;81.81818181818183
147;cnn;l2_k7_k5_d512_relu;0.01;0.2;10;84.84848484848484
148;cnn;l2_k7_k7_d512_relu;0.01;0.2;10;87.87878787878788
149;cnn;l1_k3_d128_relu;0.01;0.2;20;90.9090909090909
150;cnn;l1_k5_d128_relu;0.01;0.2;20;81.81818181818183
151;cnn;l1_k7_d128_relu;0.01;0.2;20;84.84848484848484
152;cnn;l2_k3_k3_d128_relu;0.01;0.2;20;87.87878787878788
153;cnn;l2_k3_k5_d128_relu;0.01;0.2;20;87.87878787878788
154;cnn;l2_k3_k7_d128_relu;0.01;0.2;20;33.33333333333333
155;cnn;l2_k5_k3_d128_relu;0.01;0.2;20;87.87878787878788
156;cnn;l2_k5_k5_d128_relu;0.01;0.2;20;72.72727272727273
157;cnn;l2_k5_k7_d128_relu;0.01;0.2;20;81.81818181818183
158;cnn;l2_k7_k3_d128_relu;0.01;0.2;20;81.81818181818183
159;cnn;l2_k7_k5_d128_relu;0.01;0.2;20;87.87878787878788
160;cnn;l2_k7_k7_d128_relu;0.01;0.2;20;78.78787878787878
161;cnn;l1_k3_d256_relu;0.01;0.2;20;90.9090909090909
162;cnn;l1_k5_d256_relu;0.01;0.2;20;87.87878787878788
163;cnn;l1_k7_d256_relu;0.01;0.2;20;84.84848484848484
164;cnn;l2_k3_k3_d256_relu;0.01;0.2;20;87.87878787878788
165;cnn;l2_k3_k5_d256_relu;0.01;0.2;20;84.84848484848484
166;cnn;l2_k3_k7_d256_relu;0.01;0.2;20;81.81818181818183
167;cnn;l2_k5_k3_d256_relu;0.01;0.2;20;90.9090909090909
168;cnn;l2_k5_k5_d256_relu;0.01;0.2;20;84.84848484848484
169;cnn;l2_k5_k7_d256_relu;0.01;0.2;20;75.75757575757575
170;cnn;l2_k7_k3_d256_relu;0.01;0.2;20;78.78787878787878
171;cnn;l2_k7_k5_d256_relu;0.01;0.2;20;72.72727272727273
172;cnn;l2_k7_k7_d256_relu;0.01;0.2;20;84.84848484848484
173;cnn;l1_k3_d512_relu;0.01;0.2;20;87.87878787878788
174;cnn;l1_k5_d512_relu;0.01;0.2;20;81.81818181818183
175;cnn;l1_k7_d512_relu;0.01;0.2;20;87.87878787878788
176;cnn;l2_k3_k3_d512_relu;0.01;0.2;20;60.60606060606061
177;cnn;l2_k3_k5_d512_relu;0.01;0.2;20;87.87878787878788
178;cnn;l2_k3_k7_d512_relu;0.01;0.2;20;84.84848484848484
179;cnn;l2_k5_k3_d512_relu;0.01;0.2;20;81.81818181818183
180;cnn;l2_k5_k5_d512_relu;0.01;0.2;20;87.87878787878788
181;cnn;l2_k5_k7_d512_relu;0.01;0.2;20;78.78787878787878
182;cnn;l2_k7_k3_d512_relu;0.01;0.2;20;87.87878787878788
183;cnn;l2_k7_k5_d512_relu;0.01;0.2;20;87.87878787878788
184;cnn;l2_k7_k7_d512_relu;0.01;0.2;20;90.9090909090909
185;cnn;l1_k3_d128_relu;0.01;0.2;40;84.84848484848484
186;cnn;l1_k5_d128_relu;0.01;0.2;40;87.87878787878788
187;cnn;l1_k7_d128_relu;0.01;0.2;40;84.84848484848484
188;cnn;l2_k3_k3_d128_relu;0.01;0.2;40;84.84848484848484
189;cnn;l2_k3_k5_d128_relu;0.01;0.2;40;87.87878787878788
190;cnn;l2_k3_k7_d128_relu;0.01;0.2;40;81.81818181818183
191;cnn;l2_k5_k3_d128_relu;0.01;0.2;40;81.81818181818183
192;cnn;l2_k5_k5_d128_relu;0.01;0.2;40;84.84848484848484
193;cnn;l2_k5_k7_d128_relu;0.01;0.2;40;57.57575757575758
194;cnn;l2_k7_k3_d128_relu;0.01;0.2;40;84.84848484848484
195;cnn;l2_k7_k5_d128_relu;0.01;0.2;40;33.84848484848484
